"","Adip_1","Adip_2","Macrophages","Mast","Pre_Ad","Stem","Vascular"
"PSG8",1494.73604693158,1627.57352514585,340.212588517527,55.5841101403091,2380.30396400099,330.826572263266,1339.6908648643
"PSG1",192.147790518768,69.2916679944031,30.7493698114787,11.4405089787206,201.70576526937,33.6925922027497,51.9755471439525
"PSG6",347.002967472164,270.741424150112,54.8534381055366,17.7638273713524,389.152393474846,48.1731346898686,384.274649112556
"PSG7",146.04546705511,88.516345814103,37.507109199419,7.41892365858435,187.771702459572,29.375992802025,46.9529015635165
"AC004784.1",1953.25087572281,1394.32577936621,546.905630436716,92.6455269962584,3087.74324420055,570.969720523902,1536.54840600191
"PSG11",30.3729188222926,12.7920894270635,6.28218171092146,3.64590674571209,67.7477158582004,7.86542179961264,54.8066932314125
"PSG5",160.446679429156,140.554197893508,38.0071964354897,7.12333597665634,317.491628772838,39.8236474743105,170.226350360669
"PSG4",82.6476841362362,62.3165223623644,25.5155189557519,5.4555664250299,148.069517783861,28.5783494824386,24.4923523856516
"PSG9",270.875075248302,283.998300572435,50.7743089867695,7.79401354099845,439.595028434788,73.8198203638697,246.57024505291
"TEX101",181.390900687971,52.7144938479784,36.5468722210081,8.46475757944596,269.376479650353,30.6640104175557,79.0602501053538
"PHLDB3",722.986809429571,128.61015427958,143.087866605955,44.1004392671648,720.876546472772,125.380016943516,186.714572992301
"ETHE1",1465.38192408344,458.638717460966,250.335467382696,20.0260598271826,853.35315070965,274.868744736965,645.858500404085
"ZNF575",236.755545094783,59.2395699159682,20.77941232459,6.13720427122384,68.4401536245691,24.4954448412955,91.0852966105927
"XRCC1",1263.34164527741,402.733987252217,286.591046983445,82.5872593410441,319.987435263214,315.331966976628,839.741891200807
"PINLYP",399.057698698386,415.146734615982,47.941505921344,32.9739694876997,319.120156808732,422.009306583881,316.211230136178
"IRGQ",1586.78839964847,1146.88063590459,194.867932600925,17.535266709786,493.904480947301,523.4333289846,872.129274138591
"ZNF576",990.320107586588,391.658697986015,43.9022377150901,84.6993237105597,215.30285732781,197.57052225402,213.400597047462
"SRRM5",72.825191845816,73.1851890003111,6.06232400909422,2.37177057058883,73.0167848844007,115.016128372587,33.0011834828261
"ZNF428",330.044348389696,147.831984570617,23.6828461794299,20.2853053788239,143.059645912991,117.982875683525,128.771638056707
"CADM4",266.271393344348,37.3534456117379,15.542610607593,6.91432038810551,113.071882093878,37.9748104204109,72.8952189146924
"PLAUR",930.905084455544,254.113717750588,570.350458613249,75.3597259178476,731.395420862946,214.947151804303,446.27547873868
"SMG9",1168.24740385309,520.600598734566,307.085049457074,71.9099247997271,734.960937077877,516.742840577524,513.509200740746
"KCNN4",271.059919866825,19.3138400369601,73.5187893517841,16.7549980803987,179.321492373113,63.8158756962266,33.4028698280052
"LYPD5",359.279610820871,94.1628695735055,69.4568686542113,32.8017368803011,485.179856987705,64.2840138774403,145.991129178061
"ZNF283",412.70041678339,725.275055711382,122.725135708748,23.5394791064244,755.960708529416,366.547224324339,341.153709272896
"ZNF404",282.032022642904,1424.65223190073,60.2459793871789,23.6850659082263,366.241966963146,180.347513738942,357.498877922783
"AC006213.6",28.6395416600472,55.1940762871933,0.218347132514885,0,0.671600871232542,14.2301363258808,1.25995504612837e-14
"AC006213.3",361.425857404453,292.22707442003,68.4692962674157,16.6754495640446,533.86363987022,56.188811965589,121.207941039009
"ZNF45",287.500563511303,506.763008513608,128.440351979906,32.2766173794418,382.89591479716,205.291317300541,165.989851077016
"ZNF221",168.081097932522,316.998075544395,44.0210190516301,16.740841170855,329.815240207354,366.254285828521,160.253176495619
"ZNF155",844.682684921961,2123.18602745552,292.53919991659,61.5223583731285,807.114986301144,463.144233522068,625.701438457273
"AC006213.1",21.5521373793179,14.3375134054394,1.30558527132865,0.73758598686903,16.4939745749656,6.99979837215406,2.9801494270675
"ZNF230",295.38836636728,398.521649078928,42.6147416956105,7.46491872922643,274.886475649989,222.772335347471,172.651526328127
"ZNF222",25.2522740667365,97.4124693490017,66.3266639029559,0.020837679052998,45.9116018061317,65.6340123623462,2.8902964604162
"AC067968.1",237.728711262219,312.674826908598,88.2352630663951,17.0601030250813,466.800020008459,110.707191604932,205.03045340105
"ZNF284",140.461742912209,189.714403251134,14.4638758280617,1.06213166444547,73.6394943548806,4.846312810991,54.420529137174
"ZNF224",646.454026954409,1857.9755813617,278.74217031156,98.57659125311,371.417998254764,315.091329672449,803.669576754313
"ZNF225",714.547696334977,779.894225285959,145.660702742464,28.8735463518553,669.314045504604,124.673155481762,334.77550901574
"ZNF234",980.052761986933,913.455069133273,182.269097870728,24.7918301988837,554.229135813752,179.693546288377,360.624106551251
"ZNF226",1198.17332722665,2170.29964719786,217.567429174544,58.3948596421887,639.245581028875,598.720257056615,1185.76147645101
"ZNF227",708.803276690855,671.89825982215,137.607160018596,39.8930014599324,588.701520171493,250.583252453067,465.54985932904
"ZNF235",1445.36233865709,1751.78349733835,390.337920363025,127.669801982748,1540.31414765572,477.152311127655,870.879891052473
"ZNF233",208.550846960868,279.703037815235,34.9143838544326,12.6117144004357,351.963828787984,34.8320064050746,92.4643794157964
